Designation (and name)	Prov	. Des.	q	Q	EMoid	H	Epoch	M	Peri.	Node	Incl.	e	a	Opps.	Ref.	Designation (and name)	"Discovery date, site and discoverer(s)"
	2012	BV13	0.848	1.039	0.00753	22.2	20131104	225.5	306	295.5	12.2	0.101	0.943	( 24d)	MPO224737	2012 BV13	2012 01 19  703  Catalina Sky Survey
	2012	BT1	0.544	1.023	0.01285	27.4	20131104	6.5	193.7	117.6	4.3	0.305	0.784	(  1d)	MPO219468	2012 BT1	2012 01 18  G96  Mt. Lemmon Survey
	2012	BN1	0.736	1.07	0.03123	25.5	20131104	179.5	24.2	296.8	4.2	0.185	0.903	(  9d)	MPO227509	2012 BN1	2012 01 18  G96  Mt. Lemmon Survey
	2012	AP10	0.766	1.013	0.00216	26.4	20131104	207.1	212.1	101.6	2.7	0.139	0.889	(  9d)	MPO219458	2012 AP10	2012 01 11  G96  Mt. Lemmon Survey
	2012	AN10	0.548	1.27	0.00239	22.5	20131104	301.3	303.4	297.5	14.1	0.397	0.909	( 10d)	MPO219457	2012 AN10	2012 01 10  G96  Mt. Lemmon Survey
	2011	YD29	0.525	1.002	0.01509	26.3	20131104	80.1	5	282.1	6.8	0.312	0.764	(  3d)	MPO216409	2011 YD29	2011 12 29  703  Catalina Sky Survey
	2011	YX10	0.639	1.269	0.24175	21.5	20131104	201.6	345.8	273	25.2	0.331	0.954	2	MPO252109	2011 YX10	2011 12 25  G96  Mt. Lemmon Survey
	2011	YW10	0.48	1.249	0.0092	24	20131104	221.7	217.7	86.6	2.9	0.444	0.865	(  9d)	MPO216403	2011 YW10	2011 12 25  G96  Mt. Lemmon Survey
	2011	XE	0.421	1.147	0.05323	19.3	20131104	50.6	46.6	221.3	20.7	0.463	0.784	4	MPO278271	2011 XE	2011 12 01  E12  Siding Spring Survey
	2011	WS74	0.631	1.313	0.0174	23.9	20131104	286.2	117.7	67.5	13.8	0.351	0.972	(  7d)	MPO227507	2011 WS74	2011 11 29  703  Catalina Sky Survey
	2011	WR41	0.531	1.092	0.03999	25	20131104	53	349.8	257.3	5.2	0.345	0.812	( 13d)	MPO218130	2011 WR41	2011 11 24  F51  Pan-STARRS 1
	2011	WA	0.604	1.086	0.05047	21.6	20131104	328.3	206.2	51.5	30.4	0.286	0.845	( 51d)	MPO227507	2011 WA	2011 11 16  703  Catalina Sky Survey
