full_name,pdes,name,H,diameter,extent,rot_per,H_sigma,diameter_sigma,moid
 54690 (2001 EB),54690,,17.1,,,,,,0.412984
 54789 (2001 MZ7),54789,,14.9,,,37.57,,,0.292385
 55408 (2001 TC2),55408,,18.5,,,,,,0.145936
 55532 (2001 WG2),55532,,16.1,,,,,,0.337618
 65674 (1988 SM),65674,,17.8,,,,,,0.131957
 65679 (1989 UQ),65679,,19.4,,,7.733,,,0.0140033
 65690 (1991 DG),65690,,19.2,,,,,,0.0388891
 65706 (1992 NA),65706,,16.5,,,6.992,,,0.0562171
 65717 (1993 BX3),65717,,20.9,,,20.463,,,0.0475798
 65733 (1993 PC),65733,,18.3,,,,,,0.0659888
 65803 Didymos (1996 GT),65803,Didymos,18,,,2.2593,,,0.0398404
 65909 (1998 FH12),65909,,19.2,,,3,,,0.0129105
 65996 (1998 MX5),65996,,18.4,,,,,,0.180878
 66008 (1998 QH2),66008,,16,,,,,,0.0763178
 66063 (1998 RO1),66063,,18.1,,,2.4924,,,0.091696
 66146 (1998 TU3),66146,,14.6,,,2.375,,,0.073493
 66251 (1999 GJ2),66251,,16.9,,,2.4621,,,0.246934
 66253 (1999 GT3),66253,,18.2,,,,,,0.192833
 66272 (1999 JW6),66272,,17.1,,,,,,0.409126
 66391 (1999 KW4),66391,,16.5,1.317,1.532 x 1.495 x 1.347,2.7645,,0.04,0.0132776
 66400 (1999 LT7),66400,,19.3,,,,,,0.0587853
 66407 (1999 LQ28),66407,,19,,,,,,0.0953208
 66959 (1999 XO35),66959,,16.6,,,,,,0.268195
 67367 (2000 LY27),67367,,17,,,,,,0.0462682
 67381 (2000 OL8),67381,,19.8,,,,,,0.0175118
 67399 (2000 PJ6),67399,,18.1,,,,,,0.0516817
 68031 (2000 YK29),68031,,18,,,,,,0.229364
 68063 (2000 YJ66),68063,,15.4,,,,,,0.275649
 68216 (2001 CV26),68216,,16.4,,,2.429,,,0.0249418
 68267 (2001 EA16),68267,,16.8,,,,,,0.0596134
 68278 (2001 FC7),68278,,18.3,,,,,,0.262591
 68346 (2001 KZ66),68346,,16.7,,,2.7,,,0.0387705
 68347 (2001 KB67),68347,,19.9,,,,,,0.0141358
 68348 (2001 LO7),68348,,14.2,,,3.324,,,0.385737
 68350 (2001 MK3),68350,,15.9,,,3.273,,,0.302434
 68359 (2001 OZ13),68359,,17.8,,,,,,0.278924
 68372 (2001 PM9),68372,,18.8,,,,,,0.00409748
 68548 (2001 XR31),68548,,16.5,,,,,,0.0263853
 68950 (2002 QF15),68950,,16.4,,,47,,,0.00612713
 69230 Hermes (1937 UB),69230,Hermes,17.5,,,13.894,,,0.00428968
 85182 (1991 AQ),85182,,17.1,1.1,,,,,0.0167031
 85184 (1991 JG1),85184,,18.3,,,,,,0.146474
 85236 (1993 KH),85236,,18.6,,,,,,0.000635029
 85275 (1994 LY),85275,,16.2,,,2.6962,,,0.0623062
 85490 (1997 SE5),85490,,14.7,,,9.0583,,,0.222817
 85585 Mjolnir (1998 FG2),85585,Mjolnir,21.6,,,,,,0.0214885
 85628 (1998 KV2),85628,,16.9,,,,,,0.142713
 85640 (1998 OX4),85640,,21.1,,,,,,0.00107567
 85709 (1998 SG36),85709,,15.8,,,,,,0.123516
 85713 (1998 SS49),85713,,15.6,,,,,,0.00263506
 85770 (1998 UP1),85770,,20.5,,,,,,0.0834191
 85774 (1998 UT18),85774,,19.2,,,34,,,0.0359583
 85804 (1998 WQ5),85804,,15.3,,,3.0089,,,0.372201
 85818 (1998 XM4),85818,,15.5,,,,,,0.108655
 85839 (1998 YO4),85839,,16.4,,,,,,0.24086
 85867 (1999 BY9),85867,,18,,,,,,0.280929
 85938 (1999 DJ4),85938,,18.6,,,2.5141,,,0.0225865
 85953 (1999 FK21),85953,,18,0.59,,28.1,,,0.0706997
 85989 (1999 JD6),85989,,17.1,,,7.68,,,0.048397
 85990 (1999 JV6),85990,,20,,,,,,0.0314115
 86039 (1999 NC43),86039,,15.9,2.22,,34.49,,,0.0244829
 86067 (1999 RM28),86067,,16.3,,,,,,0.363786
 86324 (1999 WA2),86324,,15.7,,,,,,0.341311
 86326 (1999 WK13),86326,,17.3,,,,,,0.278975
 86450 (2000 CK33),86450,,18.2,,,6.51,,,0.125318
 86666 (2000 FL10),86666,,16.8,,,,0.73366,,0.0807829
 86667 (2000 FO10),86667,,17.4,,,26,,,0.132987
 86819 (2000 GK137),86819,,17.4,,,3.025,,,0.0148773
 86829 (2000 GR146),86829,,15.9,,,3.0996,,,0.203869
 86878 (2000 HD24),86878,,17.6,,,,,,0.103059
 87024 (2000 JS66),87024,,18.7,,,,,,0.0964835
 87025 (2000 JT66),87025,,17.9,,,,,,0.350716
 87309 (2000 QP),87309,,17.7,,,,,,0.202088
 87311 (2000 QJ1),87311,,16.4,,,,,,0.108346
 87684 (2000 SY2),87684,,16,,,8.8,,,0.0466034
 88188 (2000 XH44),88188,,16,,,2.6906,,,0.232383
 88213 (2001 AF2),88213,,19.7,,,,,,0.17238
 88254 (2001 FM129),88254,,17.6,,,,,,0.00992802
 88263 (2001 KQ1),88263,,15.4,,,,,,0.374909
 88264 (2001 KN20),88264,,17,,,,,,0.168441
 88710 (2001 SL9),88710,,17.6,,,2.4004,,,0.197227
 88959 (2001 TZ44),88959,,17.4,,,,,,0.0518093
 89136 (2001 US16),89136,,20.2,,,14.39,,,0.0285246
