(1854) Skvortsov,*,78.5,0.56,2
(1858) Lobachevskij,,7,0.48,2
(18582) 1997 XK9,*,114,0.94,2
(186) Celuta,,19.6,0.4,2
(1860) Barbarossa,,3.255,0.28,3
(1862) Apollo,,3.065,0.15-0.60,4
(1863) Antinous,,7.4568,0.14-0.23,2
(1864) Daedalus,,8.572,0.88-1.04,3
(1865) Cerberus,,6.81,1.48-2.10,3
(1866) Sisyphus,,2.4,0.11,3
(1867) Deiphobus,*,>24.,>0.1,2
(187) Lamberta,,10.663,0.32,3
(1877) Marsden,,14.4,0.22,2
(188) Menippe,,11.974,>0.13,2
(1884) Skip,,3.079,0.2,3
(1889) Pakhmutova,*,17.49,0,4 3-
(189) Phthia,,>15.,>0.2,1
(1892) Lucienne,,9.31,0.42,2
(19) Fortuna,,7.4432,0.19-0.35,4
(190) Ismene,,6.52,0.12-0.15,3
(1900) Katyusha,,,,
(1902) Shaposhnikov,,21.2,0.42,3
(1906) Naef,*,11.009,0.92,3 N
(1907) Rudneva,,45,>0.1,2
(191) Kolga,,27.8,0.5,2
(1911) Schubart,,,0.02,
(1915) Quetzalcoatl,,4.9,0.26,2
(1916) Boreas,,3.49,0.25,2
(19164) 1991 AU1,*,32.492,0.25,2
(1917) Cuyo,,2.69,0.44,3
(1919) Clemence,*,68.5,0.6,2
(192) Nausikaa,,13.622,0.20-0.40,4
(1922) Zulu,,18.64,0.11,2
(1924) Horus,*,6.183,0.19,3
(19255) 1994 VK8,,9,0.42,2
(1926) Demiddelaer,*,,<0.1,1 N
(1927) Suvanto,*,8.164,0.63,3
(1928) Summa,,9.66,>0.14,1
(19288) 1996 FJ5,*,2.659,0.13,2  N
(193) Ambrosia,,6.581,0.53,3
(1930) Lucifer,,13.056,0.22-0.44,3
(19308) 1996 TO66,*,7.92,0.26,2
(19356) 1997 GH3,,6.714,0.74,3
(1936) Lugano,*,19.651,0.31,3
(194) Prokne,,15.67,0.27,2
(1941) Wild,,9.05,0.36,2
(1943) Anteros,,2.8695,0.08,2
(1946) Walraven,,10.223,0.6,2:00 PM
(195) Eurykleia,*,16.521,0.08-0.25,3
(1950) Wempe,*,16.787,0.93,3 N
(1951) Lick,,5.3016,0.17-0.27,3
(1952) Hesburgh,*,47.7,>0.18,2
(19521) Chaos,,,<0.10,
(1957) Angara,,3.67,0.52,3
(196) Philomela,,8.343,0.07-0.37,4
(1960) Guisan,,8.46,0.52,3
(1963) Bezovec,*,18.16,0.6,3
(1967) Menzel,*,2.835,0.27,3
(197) Arete,,6.54,0.1,3
(1972) Yi Xing,,14.183,0.18,2
(19764) 2000 NF5,,59.3,0.8,3 N
(198) Ampella,,10.383,0.22,3
(1980) Tezcatlipoca,,7.2523,0.72,3
(1981) Midas,,5.22,0.65-0.87,3
(1987) Kaplan,,9.49,0.46,3
(1989) Tatry,*,39.9,>0.22,2
(199) Byblis,*,5.22,0.15,3
(1991) Darwin,,4.7,0.08,2
(1992) Galvarino,,7.004,0.6,3
(1994) Shane,,25.?,>0.1,1
